name,ph_seq,ph_dur
4_syst_17,k an vn d an f eng q ing SP,0.2 0.4175 0.31 0.0825 0.15 0.16 0.29 0.23 0.655 0.904444
4_wzdssl_28,r en sh i b u k uai l e SP AP SP,0.1 0.24 0.2 0.2775 0.1325 0.21 0.12 0.41 0.09 0.775 0.32 0.37581 0.110794
4_nbzdds_35,SP uo u ei sh en m e l i k ai n i AP,0.264172 0.3575 0.0225 0.4575 0.1825 0.15 0.21 0.37 0.27 0.46 0.2 0.53 0.12 0.26 0.38063
4_ycjh_32,SP n i k e zh i d ao SP uo u ei i d e x i ang i ao SP AP,0.367846 0.11 0.22 0.14 0.2 0.17 0.3 0.07 0.355 0.285 0.63 0.01 0.01 0.35 0.1 0.15 0.83 0.02 0.01 0.02 1.115 0.085 0.27675
4_hjbj_27,b u z ai q v sh uo c ong q i an SP AP zh i sh i h an x van SP AP SP,0.16 0.08 0.13 0.23 0.18 0.16 0.17 0.21 0.19 0.28 0.19 0.01 0.76 0.165 0.535 0.14 0.24 0.27 0.06 0.16 0.23 0.21 0.88 0.285 0.42 0.37604
4_nbzdds_44,SP p an x van z ai n i k an b u j i an,0.182063 0.04 0.18 0.17 0.2675 0.0725 0.25 0.1 0.2 0.14 0.22 0.11 0.52 0.13 0.04 0.34606
4_syst_32,SP h ao d e h uai d e AP d ou sh i f eng j ing SP AP,0.47415 0.1 0.08 0.11 0.11 0.15 0.1675 0.0925 0.385 0.285 0.07 0.12 0.25 0.01 0.17 0.33 0.13 0.975 0.085 0.37388
4_slsz_11,l i ou x ia uo AP SP v h u ei d e SP p ai h uai SP AP SP,0.2575 0.0125 0.02 0.19 0.4475 0.5825 0.34 0.09 0.5 0.19 0.01 0.63 0.09 0.24 0.13 0.5 0.03 1.88 0.745 0.085 0.34431 0.437619
4_ckyg_11,SP van l ai t ang z ai n i sh ou sh ang SP AP SP,0.374354 0.3775 0.0525 0.11 0.15 0.34 0.11 0.38 0.09 0.27 0.18 0.16 0.16 1.035 0.165 0.45994 0.253016
4_htdst_33,x i ang i ao b ao SP zh u n i SP q ve h u en l uan ch en m o AP,0.16 0.01 0.2975 0.0225 0.2575 0.1525 0.625 0.075 0.07 0.3 0.11 0.585 0.045 0.12 0.25 0.15 0.02 0.22 0.14 0.6525 0.1375 0.27 0.12 0.665 0.35006
4_yyzbs_24,s i n i an c ai AP b ei d u ei b ei AP SP zh ang u ang SP AP,0.1975 0.2 0.0625 0.02 0.2075 0.2025 0.365 0.365 0.09 0.27 0.14 0.01 0.25 0.14 0.54 0.405 0.065 0.16 0.72 0.02 0.915 0.26 0.26969
4_yj_19,SP uo p SP ai zh e d u ei AP n a zh e ai d e SP h ao m a p SP ai SP AP SP,0.05 0.18 0.03 0.11 0.27 0.12 0.16 0.14 0.01 0.345 0.275 0.1 0.25 0.09 0.1725 0.4975 0.14 0.355 0.245 0.05 0.18 0.13 0.01 0.17 0.14 0.97 0.33 0.26181 0.297642
4_slsz_20,SP uo b u sh i i d ing i ao n i h u ei l ai SP AP SP,0.433855 0.2975 0.1225 0.28 0.19 0.27 0.26 0.16 0.63 0.01 0.02 0.09 0.19 0.17 0.01 0.3 0.1 1.12 0.36 0.58419 0.429705
4_nn_30,SP uo zh i d ao SP n uan n uan j i ou z ai x i ong t ang SP AP,0.32229 0.16 0.3075 0.0225 0.11 0.535 0.315 0.07 0.13 0.15 0.18 0.08 0.06 0.11 0.12 0.15 0.17 0.01 0.15 0.11 1.035 0.085 0.23188
4_sh_5,SP n i q i an uan b u i ao f ang z ai x in sh ang SP AP SP,0.238458 0.14 0.28 0.5875 0.0125 0.01 0.21 0.07 0.96 0.01 0.02 0.2 0.33 0.17 0.16 0.17 0.33 0.18 0.86 0.345 0.295 0.276727
4_nbzdds_17,z ai x in l i q ing x i SP AP,0.17 0.51 0.17 0.29 0.08 0.34 0.27 0.5 0.21 0.775 0.095 0.37487
4_ckyg_0,r ang uo SP ai n i SP r an h ou b a uo SP p ao q i SP,0.27 0.4075 0.9025 0.43 0.38 0.13 0.64 0.44 0.06 0.17 0.03 0.11 0.12 0.35 0.375 0.145 0.03 0.29 0.19 0.8 0.39419
4_wzdssl_21,SP z en m e n i sh eng in b i an d e l eng d an l e SP AP SP,0.290431 0.14 0.2175 0.1725 0.3575 0.0725 0.07 0.21 0.56 0.23 0.15 0.02 0.32 0.06 0.26 0.16 0.72 0.12 0.67 0.15 0.56 0.1 0.29925 0.26771
4_syst_18,SP n eng g ou uo j in d e j i ou b ie f ang l e AP,0.06 0.04 0.19 0.07 0.2175 0.38 0.1725 0.36 0.11 0.32 0.48 0.01 0.02 0.16 0.12 0.16 0.23 0.19 0.325 0.40206
4_trhxn_0,SP z u ei SP p a k ong q i t u r an an j ing SP,0.187732 0.2 0.01 0.27 0.08 0.68 0.01 0.21 0.28 0.18 0.22 0.2 0.28 0.14 0.2775 0.4425 0.17 0.9 0.822388
4_slsz_0,SP i ou l ai d ao SP zh e g e g ang k ou SP,0.2575 0.0225 0.91 0.12 0.58 0.18 0.785 0.165 0.12 0.29 0.15 0.21 0.15 0.23 0.2 0.505 0.702342
4_htdst_7,l u en u ei x ia SP p i an d e d i an ing SP AP SP,0.15 0.01 0.5175 0.0125 0.04 0.19 0.295 0.085 0.24 0.01 0.02 0.11 1.08 0.09 0.02 0.24 0.88 0.08 0.27219 0.222041
4_htdst_30,sh en m e j i ao r en c uo AP,0.18 0.2975 0.0725 0.2375 0.1425 0.01 0.72 0.11 0.24 0.15 0.37 0.27963
4_dance_35,SP x i ang u en u en n i d e x in zh ong SP,0.410544 0.9475 0.0125 0.01 0.02 0.18 0.01 0.02 0.19 0.3 0.07 0.25 0.18 0.28 0.09 0.355 0.31263
4_hjbj_28,SP d u ei n i sh uo i j v SP AP SP zh i sh i sh uo SP AP SP i j v SP,0.208934 0.12 0.01 0.1575 0.0825 0.24 0.18 0.32 0.32 0.2 0.735 0.3 0.31 0.045 0.13 0.08 0.15 0.02 0.2 0.75 0.18 0.25 0.15 0.26 0.23 1.425 0.79319
4_nn_43,SP d a c ong x in l i n uan n uan d e AP,0.103741 0.1 0.17 0.11 0.17 0.13 0.1775 0.1025 0.15 0.1 0.17 0.13 0.25 0.04 0.245 0.277
4_nn_24,SP in u ei uo SP uan q van x in r en n i,0.09 0.3175 0.0225 0.2475 0.5025 0.36 0.17 0.17 0.35 0.18 0.1 0.17 0.11 0.18 1.48825
4_nbzdds_12,SP uo j i an ch i b u n eng sh uo SP,0.07 0.2 0.3475 0.0125 0.02 0.17 0.2 0.09 0.21 0.13 0.18 0.19 0.54844 0.44932
4_zgz_28,SP uo k e i g en z ai n i sh en h ou AP SP,0.560159 0.3175 0.1625 0.3675 0.2925 0.14 0.33 0.11 0.19 0.09 0.26 0.17 0.28 0.14 0.235 0.23512 0.116259
4_yj_16,SP uo v j i an sh ei h u ei i ou z en i ang d e d u ei b ai SP AP,0.07 0.4275 0.2225 0.1 0.04 0.15 0.18 0.51 0.15 0.01 0.01 0.02 0.5 0.15 0.27 0.02 0.25 0.14 0.17 0.17 0.02 0.48 0.15 0.69 0.085 0.37881
4_yj_12,SP in t i an b ang uan ch e ch u ang uai SP AP SP,0.2 0.22 0.19 0.02 0.9 0.12 0.37 0.77 0.16 0.22 0.71 0.02 0.01 0.595 0.28 0.56 0.0885
4_htdst_3,SP l i ang k e x in j i ou h u ei m an ch u l ai SP k uai l e SP,0.471905 0.2575 0.0125 0.01 0.11 0.09 0.19 0.9475 0.1925 0.01 0.02 0.13 0.01 0.09 0.12 0.23 0.19 0.21 0.21 0.405 0.475 0.06 0.32 0.08 0.57 0.598135
4_slsz_21,SP zh i sh i d ang i ou i g e r en k an h ai SP AP,0.289116 0.19 0.19 0.4075 0.07 0.0625 0.33 0.02 0.41 0.26 0.14 0.22 0.13 0.27 0.15 0.18 0.18 1.465 0.275 0.62281
4_yj_7,SP ai i ao g uai j i g e uan c ai l ai SP AP SP,0.118367 0.5175 0.0125 0.1 0.14 0.2175 0.1525 0.17 0.14 0.34 0.82 0.16 0.47 0.17 0.415 0.345 0.65981 0.44415
4_slsz_35,SP h ai i ou sh ei n eng j i ao uo i ong g an SP AP SP,0.34254 0.12 0.5675 0.0125 0.03 0.18 0.23 0.14 0.24 0.43 0.01 0.01 0.61 0.01 0.47 0.12 1.495 0.355 0.45 0.11606
4_yj_20,SP uo u ang q i an f ei f ei g uo i SP p i an sh i j i an h ai SP AP SP,0.09 0.4575 0.0125 0.1375 0.1225 0.04 0.1375 0.1625 0.42 0.17 0.32 0.04 0.3 0.235 0.095 0.2 0.02 0.02 0.16 0.22 0.1 0.05 0.41 0.18 0.655 0.11 0.38275 0.395782
4_ycjh_3,sh ang i m i ao SP h ong zh e l i an z ai zh eng ch ao SP AP SP,0.2 0.3275 0.2025 0.15 0.02 0.58 0.3 0.15 0.28 0.09 0.55 0.17 0.01 0.54 0.15 0.52 0.18 0.53 0.18 0.275 0.075 0.23213 0.448413
4_yj_6,SP x i ang z uo x i ang i ou x i ang q i an k an SP,0.231746 0.5075 0.0125 0.04 0.14 0.72 0.51 0.02 0.01 0.01 0.71 0.3 0.01 0.11 0.17 0.01 0.49 0.17 0.805 0.36344
4_syst_15,b ie g uai uo t an x in AP zh i sh i b u van x ing SP AP SP,0.13 0.11 0.1 0.2175 0.1325 0.19 0.29 0.21 0.365 0.225 0.1 0.07 0.23 0.04 0.14 0.25 0.26 0.25 0.25 0.07 0.24775 0.22381
4_dance_16,n i g ei SP d e ai SP AP SP,0.11 0.25 0.13 1.78 0.13 0.04 2.14 0.155 0.305 0.43994 0.315057
4_syst_26,SP sh ei r ang SP AP SP,0.134785 0.26 0.82 0.07 1.095 0.34 0.22463 0.390204
4_ckyg_33,SP j i m o AP zh u ch eng i d ao u ei q i ang AP SP,0.341905 0.1 0.15 0.09 0.24 0.3275 0.1025 0.3 0.18 0.37 0.22 0.1 0.05 0.01 0.74 0.13 0.01 0.2125 0.19694 0.477596
4_nn_39,SP n i z i j i q ve b u zh i d ao AP,0.206463 0.05 0.17 0.13 0.1275 0.1225 0.14 0.16 0.16 0.11 0.19 0.1 0.21 0.08 0.78 0.27963
4_wzdssl_3,SP ch u ang uai in t i an l e SP AP SP,0.496916 0.4475 0.0125 0.01 0.5075 0.2125 0.18 0.02 0.33 0.05 0.76 0.335 0.345 0.04081
4_hjbj_16,h ao j i ou b u j i an SP AP SP,0.14 0.41 0.2 0.04 0.565 0.135 0.27 0.16 0.08 1.765 0.255 0.57 0.12369
4_trhxn_17,n a m e f eng n a m e r e l ie d e c eng j ing AP,0.14 0.1475 0.0725 0.0775 0.1625 0.2975 0.0825 0.14 0.06 0.13 0.1 0.32 0.08 0.2 0.05 0.4525 0.1575 0.33 0.1 0.805 0.27462
4_wzqad_14,SP sh i j ie b u g uan z en i ang h u ang l i ang SP AP SP,0.469229 0.23 0.2975 0.0925 0.3375 0.1125 0.28 0.14 0.27 0.18 0.37 0.02 0.2 0.24 0.01 0.16 0.13 0.01 0.735 0.34 0.3265 0.16873
4_hjbj_9,z ai j ie j i ao d e k a f ei d i an SP,0.17 0.28 0.13 0.25 0.4 0.01 0.02 0.14 0.41 0.25 0.39 0.23 0.26 0.16 0.18 1.07 1.167833
4_syst_6,z ong r an sh i m eng a SP AP SP b an x ing zh e SP AP,0.14 0.17 0.06 0.13 0.2 0.33 0.11 0.38 0.53 0.1 0.21 0.09 0.07 0.32 0.2 0.36 0.12 0.44 0.08 0.34863
4_sh_9,SP n i d ong uo d e SP AP SP uo d u ei n i c ong l ai j i ou b u SP h u ei j ia zh u ang SP,0.173197 0.15 0.29 0.13 0.45 0.36 0.12 0.47 0.125 0.265 0.07 0.4 0.11 0.02 0.38 0.04 0.29 0.18 0.39 0.08 0.16 0.42 0.01 0.02 0.12 0.285 0.265 0.17 0.01 0.52 0.13 0.36 0.13 0.01 0.34 0.473031
4_ckyg_21,k e uo AP SP b u c eng j i an g uo h ai i ang,0.1 0.2575 0.2525 0.315 0.055 0.06 0.29 0.2 0.33 0.1 0.04 0.34 0.06 0.14 0.16 0.38 0.02 0.49912
4_trhxn_5,SP b u van SP AP SP n a sh i b ei sh ang d e k u q i SP AP SP,0.432245 0.1 0.3375 0.5075 0.085 0.145 0.055 0.12 0.27 0.19 0.28 0.12 0.27 0.18 0.33 0.09 0.1 0.19 0.48 0.22 0.995 0.235 0.45856 0.413605
4_slsz_10,h u ei t ou c ai f a x i an n i b u z ai AP,0.23 0.02 0.3275 0.1225 0.23 0.22 0.5 0.15 0.2 0.24 0.01 1.0 0.06 0.3 0.11 0.58 0.17 0.355 0.28344
4_nbzdds_0,SP h u d ie zh a j i c i i an j ing SP,0.232812 0.24 0.24 0.07 0.2 0.13 0.63 0.12 0.19 1.05 0.32 0.01 0.02 0.13 0.84 0.36112
4_ycjh_25,b u p SP a n i j i ao SP,0.14 0.23 0.045 0.415 0.01 0.37 0.21 0.15 0.01 0.29 0.479523
4_sh_12,x i ao sh i zh en d e b u sh i uo SP AP ch eng q i ang SP AP SP,0.2775 0.0125 0.2875 0.2 0.23 0.1425 0.39 0.07 0.34 0.14 0.3 0.56 0.01 0.455 0.085 0.3025 0.1875 0.28 2.24 0.01 0.13 0.48 0.265 0.05862
4_wzqad_26,uo z u ei q in ai d e SP AP SP n i g uo d e z en m e i ang AP SP,0.3875 0.3 0.0125 0.02 0.23 0.18 0.26 0.07 0.625 0.085 0.175 0.115 0.1 0.14 0.1 0.14 0.05 0.24 0.18 0.3 0.1 1.88 0.01 0.645 0.31919 0.158209
4_zgz_18,r u g uo sh uo SP,0.05 0.29 0.14 0.2 0.21 0.55 0.74269
4_htdst_6,SP sh i g uo l e SP AP SP d uo sh ao g e q i ou d ong SP AP,0.23059 0.24 0.3075 0.1025 0.48 0.32 0.735 0.355 0.305 0.085 0.07 0.2 0.19 0.29 0.09 0.22 0.4 0.01 0.02 0.12 1.08 0.08 0.29075
4_yj_3,SP u ei l ai q ve b u n eng in c i an SP p ai SP,0.689683 0.01 0.02 0.07 0.16 0.2 0.21 0.14 0.17 0.09 0.29 0.53 0.19 0.21 0.535 0.135 0.04 0.56 0.73437
4_htdst_22,SP x i ang q i l ai SP z en m e x i ang m eng SP AP SP,0.307959 0.3875 0.0125 0.12 0.16 0.2275 0.1625 0.875 0.385 0.11 0.18 0.21 0.19 0.21 0.01 0.54 0.05 0.85 0.34 0.25094 0.163447
4_trhxn_4,SP x i ang n i an SP r u g uo h u ei i ou sh eng SP in SP,0.452245 0.3775 0.0125 0.01 0.23 0.01 0.495 0.205 0.12 0.27 0.16 0.21 0.19 0.02 0.59 0.01 0.03 0.22 0.375 0.115 1.275 0.722266
4_syst_29,SP zh eng b u g uo zh ao x i AP SP i ou n i an zh e u ang x i AP,0.372857 0.13 0.12 0.07 0.13 0.12 0.12 0.13 0.33 0.23 0.365 0.275 0.15 0.01 0.02 0.11 0.02 0.14 0.11 0.48 0.01 0.02 0.23 0.4 0.25063
4_dance_0,SP s uo i z an sh i j i ang n i i an j ing b i l e q i l ai SP AP SP,0.473129 0.32 0.3575 0.2425 0.13 0.27 0.16 0.2 0.37 0.01 0.04 0.12 0.61 0.01 0.02 0.13 0.24 0.12 0.25 0.12 0.55 0.25 0.64 0.12 0.56 0.095 0.33444 0.395782
4_yhys_18,SP u ang zh e g ao g ao d e t i an AP z ou l e ch ang ch ang d e l u SP AP SP,0.693129 0.01 0.02 0.11 0.24 0.14 0.38 0.17 0.51 0.11 0.21 0.2 0.04 0.29 0.32 0.16 0.3 0.08 0.29 0.18 0.68 0.16 0.32 0.08 0.3 0.13 0.865 0.23 0.655 0.376999
4_trhxn_6,SP sh i d ao r u j in zh ong v r ang z i j i sh u v SP AP SP uo z i j i,0.296757 0.5075 0.0125 0.11 0.32 0.1 0.12 0.17 0.88 0.15 0.43 0.04 0.19 0.45 0.15 0.3 0.12 0.1675 0.1425 0.6 0.305 0.09 0.315 0.08 0.19 0.12 0.51 0.11 0.33244
4_yj_0,SP t ing j i an d ong t i an d e l i k ai SP,0.207438 0.29 0.19 0.16 0.04 0.82 0.11 0.23 0.18 0.02 0.83 0.07 0.28 0.12 0.39 0.23 0.59 0.34944
4_nn_21,SP h u ei i l i SP AP m an z u d e x van l v SP AP SP,0.118435 0.13 0.02 0.2075 0.29 0.0925 0.4 0.085 0.215 0.1 0.19 0.14 0.41 0.11 0.16 0.17 0.25 0.07 0.94 0.085 0.27719 0.440227
4_yj_24,z ong i ou i t i an SP uo d e m i d i SP AP SP h u ei j ie k SP,0.15 0.3675 0.0225 0.3875 0.2025 0.23 0.02 0.685 0.295 0.37 0.05 0.21 0.19 0.41 0.19 0.325 0.095 0.23 0.06 0.23 0.01 0.29 0.23 0.2175 1.6075 0.603951
4_jd_34,SP uo h e n i d e i an zh ong SP,0.11 0.3675 0.2125 0.35 0.17 0.38 0.13 0.49 0.02 0.36 0.13 0.36831 0.336485
4_htdst_19,n i c ai zh ong q ve h ai SP p ei h e SP m ei sh uo SP,0.12 0.07 0.13 0.1175 0.1125 0.98 0.16 0.19 0.19 0.24 0.2 0.03 0.06 0.16 0.57 0.31 0.15 0.23 0.2 0.7 0.39738
4_htdst_23,x i ao d e m ei h ao SP AP SP d a d e g an d ong SP AP,0.4875 0.0125 0.02 0.08 0.19 0.21 0.32 0.22 0.835 0.13 0.225 0.13 0.07 0.67 0.12 0.23 0.15 0.46 0.13 1.095 0.14 0.27475
4_jd_19,sh i uo m en SP AP SP i h ou d e sh ang k ou SP AP,0.3675 0.0125 0.18 0.14 0.825 0.08 0.46 0.075 0.12 0.12 0.15 0.12 0.33 0.18 0.36 0.17 0.45 0.08 0.30794
4_slsz_24,SP uo b u sh i i d ing i ao n i h u ei l ai SP AP,0.04 0.365 0.095 0.28 0.18 0.25 0.29 0.16 0.63 0.01 0.02 0.08 0.2 0.16 0.02 0.27 0.11 0.96 0.24 0.60913
4_zgz_10,SP uo k e i g en z ai n i sh en h ou AP,0.11 0.3175 0.1425 0.3675 0.2525 0.14 0.39 0.15 0.23 0.25 0.14 0.18 0.28 0.14 0.245 0.24087
4_yyzbs_23,b u x i ang i ao v n i f en k ai SP,0.11 0.05 0.5075 0.0225 0.2075 0.0125 0.01 0.32 0.11 0.2 0.18 0.27 0.11 0.24 0.08812
4_syst_39,t ou z ou l e q ing s i q ve l i ou zh u i g e n i AP SP,0.16 0.13 0.09 0.18 0.09 0.29 0.19 0.11 0.21 0.02 0.18 0.33 0.23 0.01 0.02 0.1 0.19 0.21 0.13 0.23 0.22 0.395 0.27881 0.363401
4_zgz_31,b u g uan n i h AP SP u ei b u h u ei j ing g uo AP,0.11 0.23 0.15 0.24 0.17 0.25 0.015 0.13 0.275 0.01 0.02 0.12 0.11 0.15 0.02 0.24 0.16 0.28 0.09 0.23 0.36694
4_nn_23,SP n i sh uo d e SP AP SP uo d ou h u ei x i ang x in AP,0.460476 0.06 0.13 0.16 0.17 0.08 0.225 0.095 0.125 0.085 0.22 0.1 0.16 0.15 0.02 0.12 0.28 0.01 0.02 0.17 0.19 0.26288
4_slsz_6,SP i ong b ao n a m e d uo SP AP q i q i l uo l uo SP AP,0.600635 0.01 0.03 0.08 0.27 0.12 0.89 0.38 0.03 0.13 0.29 0.14 0.365 0.175 0.23 0.21 0.56 0.1 0.33 0.1 0.89 0.14 0.25369
4_syst_21,sh eng x ia l e sh en SP m e SP,0.17 0.3 0.19 0.4 0.05 0.26 0.23 0.03 0.31 0.12 0.87 0.745336
4_sh_17,SP uo m ei i ou sh uo h u ang SP AP SP uo h e b i sh uo h u ang SP AP,0.209388 0.3875 0.1125 0.71 0.01 0.02 0.23 0.62 0.22 0.01 0.85 0.095 0.35 0.075 0.35 0.14 0.41 0.09 0.24 0.24 0.63 0.24 0.02 0.705 0.17 0.41544
4_ckyg_16,SP r u g uo SP AP SP h en n i SP AP SP j i ou n eng b u u ang j i n i SP AP SP,0.465578 0.18 0.28 0.16 0.755 0.195 0.195 0.075 0.15 0.35 0.1 0.745 0.37 0.335 0.05 0.21 0.01 0.02 0.08 0.17 0.07 0.73 0.01 0.05 0.13 0.34 0.12 1.025 0.345 0.22687 0.376372
4_nbzdds_22,SP d uo d e sh i SP AP,0.310159 0.16 0.58 0.11 0.24 0.8 0.01 0.275 0.28637
4_yyzbs_21,SP g ei uo u en n uan AP q ve b u zh u en uo SP i u ang SP,0.11381 0.14 0.3275 0.7925 0.01 0.02 0.29 0.94 0.405 0.155 0.29 0.12 0.2 0.16 0.04 0.59 1.28 0.5 0.62 0.01 2.865 0.355032
4_ycjh_35,z ai u i ou u l v d e sh i g u ang l i m an m an b i an l ao SP,0.13 0.3275 0.0125 0.01 0.01 1.01 0.08 0.24 0.08 0.2 0.36 0.07 0.09 0.01 0.29 0.1 0.16 0.16 0.17 0.17 0.27 0.08 0.05 0.27 0.05 0.6 0.41025
4_wzdssl_11,sh i n i b i an l e SP,0.19 0.2375 0.1425 0.26 0.16 0.02 0.24 0.12 1.025 0.665136
4_ycjh_9,SP i k e x in z ao i j ing SP AP SP zh u en b ei h ao SP,0.384875 0.22 0.16 0.17 0.2 0.37 0.15 0.49 0.22 0.18 0.805 0.415 0.18 0.16 0.13 0.06 0.54 0.09 0.53 0.18 1.335 1.456814
4_jd_45,SP d ang ch u n ei x ie u en r ou AP SP,0.332426 0.07 0.3675 0.1725 0.32 0.1 0.29 0.13 1.93 0.01 0.02 0.09 0.325 0.33144 0.488776
4_ckyg_8,SP uo i zh i d ou z ai l i ou l ang SP,0.311837 0.2375 0.3425 0.16 0.3 0.12 0.35 0.14 0.18 0.56 0.01 0.05 0.11 0.35219 0.213447
4_htdst_16,n i d e l ei SP AP SP,0.02 0.53 0.13 0.32 0.25 3.35 0.37 0.245 0.07919
4_ycjh_31,SP z ai z i i ou z i z ai d e k ong q i l i ch ao ch ao n ao n ao AP,0.123356 0.16 0.2375 0.1325 0.2775 0.0225 0.27 0.14 0.2 0.11 0.27 0.08 0.21 0.16 0.21 0.15 0.2 0.13 0.19 0.18 0.2 0.14 0.24 0.11 0.25 0.1 0.565 0.38238
4_nn_44,SP n i b i z i j i g eng zh ong i ao SP AP SP,0.280635 0.09 0.19 0.09 0.16 0.14 0.1275 0.1525 0.16 0.11 0.47 0.1 1.44 0.01 0.235 0.08 0.27631 0.460091
4_yhys_21,SP k e sh i n i z ai q i ao d a AP SP uo d e ch u ang l ing SP AP,0.239229 0.19 0.25 0.3575 0.06 0.1725 0.99 0.15 0.28 0.23 0.01 0.6 0.14 0.25 0.42 0.07 0.3675 0.0825 0.17 0.25 0.01 0.73 0.08 0.855 0.095 0.41144
4_hjbj_8,SP n i h u ei b u h u ei h u r an d e ch u x i an SP AP,0.488889 0.21 0.1 0.18 0.02 0.2675 0.0825 0.3 0.25 0.01 0.21 0.2 0.26 0.13 0.52 0.1 0.5 0.22 0.21 0.21 0.01 1.325 0.375 0.37044
4_zgz_30,SP uo k e i d eng z ai zh e l u k ou AP SP,0.06 0.2575 0.1625 0.3675 0.2625 0.16 0.3 0.12 0.17 0.14 0.26 0.13 0.24 0.17 0.215 0.25906 0.351542
4_syst_35,k an vn d an f eng q ing SP AP,0.19 0.3875 0.28 0.0725 0.15 0.18 0.27 0.22 1.16 0.215 0.45087
4_syst_16,SP in u ei n i zh i u ei n i van h e uo i q i SP,0.553356 0.3675 0.0125 0.02 0.1 0.32 0.2 0.35 0.01 0.02 0.1 0.39 0.19 0.13 0.14 0.35 0.24 0.25 0.39525 0.478027
4_sh_13,SP uo h ao j i ou m ei l ai zh e j i an c an t ing SP AP,0.07 0.4375 0.1625 0.34 0.22 0.01 0.02 0.13 0.43 0.09 0.45 0.18 0.34 0.1 0.07 0.08 0.2 0.31 0.17 0.855 0.375 0.3935
4_ycjh_16,SP z ai u i ou u l v d e sh i g u ang l i m an m an b i an l ao SP AP SP,0.121882 0.13 0.6475 0.0125 0.02 0.01 0.67 0.07 0.26 0.09 0.19 0.36 0.06 0.12 0.01 0.18 0.18 0.16 0.17 0.18 0.16 0.25 0.09 0.04 0.28 0.05 0.5 0.09 0.265 0.09563
4_zgz_39,SP b u g uan n i h u ei b u h u ei j ing g uo AP SP,0.4761 0.14 0.22 0.15 0.21 0.19 0.22 0.41 0.01 0.02 0.15 0.11 0.15 0.02 0.23 0.16 0.27 0.11 0.215 0.3355 0.387868
4_nn_41,SP z i x in x in b u g ao AP SP,0.480091 0.14 0.3975 0.1725 0.14 0.14 0.21 0.06 0.43 0.12 0.265 0.27025 0.31576
4_wzdssl_5,SP uo d e x in k ai sh i x i ang AP n i l e SP AP SP,0.473152 0.3275 0.1125 0.2975 0.1925 0.22 0.15 0.24 0.17 0.17 0.2 0.01 0.37 0.3275 0.1225 0.32 0.11 1.365 0.35 0.34175 0.447868
4_yhys_7,SP u ang l e h u ei t ou k an AP t a i ou m ei i ou k u SP AP SP,0.549093 0.02 0.1575 0.0425 0.08 0.2275 0.0125 0.03 0.18 0.25 0.22 0.83 0.42 0.18 0.77 0.01 0.02 0.25 0.78 0.01 0.02 0.25 2.77 0.375 0.645 0.167711
4_nbzdds_41,SP z ai x in l i q ing x i AP SP,0.496848 0.19 0.54 0.2 0.27 0.06 0.45 0.27 0.53 0.19 0.76 0.4 0.257132
