name,ph_seq,ph_dur
36_la_22,SP h ou h u ei c ong l ai m ei i ou zh en x i SP g uo uo SP,0.126984 0.15 0.12 0.1 0.01 0.0575 0.1525 0.1475 0.0425 0.1175 0.1125 0.18 0.01 0.09 0.12 0.25 0.23 0.24 0.09 0.09 0.68 0.055 0.988081
36_hsgddj_30,SP ie i ou f ei n i ao z ai b ei sh ang t ing SP AP SP,0.6 0.02 0.02 0.05 0.25 0.49 0.18 0.02 0.18 0.16 0.26 0.24 0.29 0.22 0.37 0.2 0.515 0.265 0.54625 0.118571
36_ykndyw_39,g ang x ia m ei t ou AP q ve sh ang x in t ou SP,0.1 0.1475 0.2025 0.1975 0.0725 0.1875 0.2125 0.35 0.51 0.11 0.1 0.21 0.17 0.22 0.505 0.205 0.885 1.280656
36_hsgddj_28,SP i ou zh e z u ei SP j v d a d e sh en ing SP AP,0.319002 0.01 0.02 0.17 0.1 0.15 0.01 0.09 0.05 0.15 0.36 0.17 0.21 0.1 0.27 0.26 0.37 0.46 0.27 0.50775
36_knf_3,sh an j i an d e q spn SP n eng f SP ou v sh ang SP n an f ei d e SP i an SP AP SP,0.18 0.18 0.16 0.01 0.1775 0.0425 0.07 0.27 0.75 0.71 0.1 0.12 0.03 0.06 0.26 0.13 0.2 0.225 0.105 0.08 0.1375 0.1725 0.2 0.09 0.435 0.115 0.02 0.995 0.21 0.12731 0.157302
36_hsgddj_9,SP ai x i SP b o l i ia d e x ve j ing AP,0.236689 0.2275 0.1825 0.125 0.075 0.07 0.38 0.13 0.64 0.01 0.16 0.295 0.205 0.13 0.16 0.27 0.39981
36_yxqc_44,SP x i ao v l ei d ou f en x i ang g uan q ing j ie d uo d ie d ang AP SP,0.34839 0.4575 0.0125 0.01 0.15 0.1 0.1 0.14 0.36 0.15 0.11 0.21 0.01 0.14 0.04 0.13 0.13 0.18 0.07 0.17 0.11 0.07 0.21 0.32 0.12 0.18 0.47637 0.378549
36_qssymm_10,SP i q v g ao g e q i an x ing l ei,0.377075 0.08 0.19 0.08 0.14 0.41 0.08 0.14 0.18 0.04 0.1375 0.1425 0.24 0.07 0.10625
36_wyy_7,SP h en b u n eng l i j i SP,0.222517 0.18 0.2575 0.1025 0.17 0.1 0.3 0.07 0.25 0.21 0.125 0.34806
36_nbzdds_21,SP g ao SP k ong l i SP,0.473311 0.1 0.365 0.085 0.19 0.47 0.14 0.205 1.146146
36_wyy_44,sh en m e d ou spn i SP AP,0.31 0.2775 0.1125 0.1975 0.1925 0.27 0.09 1.015 0.08 0.5665
36_knf_9,SP k e n eng uo SP j i an l e h u ang h e c ai h u ei s i x in b a AP SP,0.439025 0.17 0.08 0.15 0.2275 0.0825 0.09 0.12 0.03 0.12 0.1 0.06 0.33 0.01 0.2725 0.0775 0.06 0.19 0.09 0.17 0.01 0.02 0.2 0.07 0.23 0.34 0.07 0.22 0.4735 0.257891
36_mtnh_39,m ing t i an n i h ao AP AP h an zh e l ei u ei x SP i ao AP SP,0.18 0.1275 0.1625 0.02 0.1375 0.1725 0.4 0.19 0.675 0.1375 0.3375 0.12 0.23 0.1 0.25 0.06 0.29 0.02 0.14 0.91 0.23 0.01 0.01 0.455 0.04525
36_mtnh_16,SP q ve t i x ing uo SP AP SP,0.354717 0.16 0.1375 0.1625 0.15 0.24 0.55 1.485 0.255 0.15725 0.372313
36_mtnh_23,SP ch en m o zh e d ong d e SP uo SP d e SP u ei SP q v SP,0.22941 0.22 0.07 0.22 0.18 0.13 0.16 0.13 0.31 0.01 0.415 0.435 0.3 0.04 0.11 0.465 0.205 0.01 0.365 0.045 0.28 0.325 1.149313
36_qssymm_4,j in g uan k u ang SP f eng SP spn ing d e q i SP,0.19 0.12 0.08 0.14 0.14 0.01 0.125 0.295 0.15 0.47 0.49 0.13 0.4625 0.1075 0.33 0.31 0.95 1.046548
36_qmnlg_22,SP b i an ch eng t ou m ing d e g ao q i ang SP,0.22288 0.17 0.02 0.1 0.16 0.1075 0.1625 0.22 0.27 0.44 0.08 0.1 0.2 0.28 0.22 0.01 0.21 0.47763
36_knf_6,n eng SP f ou m an i d i an SP h u ei h uo i ou x i an d e sh i j i an AP,0.12 0.105 0.095 0.06 0.09 0.15 0.2075 0.4025 0.17 0.01 0.14 0.24 0.09 0.01 0.05 0.17 0.24 0.01 0.02 0.39 0.01 0.02 0.05 0.07 0.28 0.07 0.14 0.03 0.135 0.25631
36_nn_40,SP c ong l ai d ou h en d i d i ao AP,0.453265 0.19 0.5075 0.0625 0.2075 0.0725 0.16 0.11 0.18 0.12 0.15 0.14 0.01 0.125 0.31025
36_qssymm_5,m ei r en r u v SP j i an r u h ong SP AP,0.17 0.18 0.26 0.12 0.2 0.41 1.12 0.88 0.15 0.01 0.4 0.07 0.11 0.19 1.52 0.23 0.50481
36_bllxmx_9,SP q v x spn zh ao m o f a d e m i m i SP AP SP,0.121156 0.13 0.02 0.16 0.1075 0.1025 0.1075 0.1025 0.2475 0.1925 0.29 0.08 0.13 0.13 0.21 0.2 0.345 0.19 0.48263 0.387392
36_nn_20,n i sh uo d e SP uo d ou SP spn i q v SP,0.14 0.06 0.21 0.19 0.1 0.385 0.185 0.2 0.08 0.215 0.045 0.29 0.15 0.2 0.2 0.570074
36_syst_10,SP q ing sh i i ou f eng in i ou sh i v SP AP SP,0.483515 0.15 0.06 0.3375 0.1 0.0125 0.02 0.2 0.44 0.57 0.02 0.1975 0.3125 0.01 0.69 0.175 0.42025 0.440476
36_nbzdds_2,SP ie k ong s a m an l e x ing x ing SP,0.26 0.1075 0.1225 0.1075 0.2325 0.45 0.25 0.21 0.12 0.7975 0.2525 0.12 0.28 0.395 0.699167
36_syst_7,SP x i ao zh e k u zh e d ou SP k spn h uo SP,0.04 0.2475 0.0125 0.0575 0.1125 0.07 0.18 0.12 0.12 0.1 0.13 0.295 0.125 0.01 0.4 0.23 1.18 0.79515
36_ybkjdn_26,SP zh i u ei uo SP b ei x i,0.114671 0.15 0.3675 0.0125 0.4475 0.3575 0.435 0.08 0.4 0.37 1.04875
36_mdlbsy_23,m a d e l i AP b u s SP i i AP t u r an n a m e x i ang n i an n i,0.08 0.1775 0.0825 0.1875 0.0925 0.12 0.3075 0.0725 0.09 0.18 0.08 0.01 0.225 0.305 0.1 0.14 0.09 0.21 0.06 0.23 0.01 0.07 0.27 0.01 0.05 0.08 0.01 0.2 0.07 0.70894
36_fq_2,m ei SP c i l i k ai z ong h u ei zh u ang z uo SP q ing SP s ong d e i ang SP z i SP,0.12 0.175 0.045 0.21 0.1875 0.1625 0.12 0.2 0.3725 0.1475 0.29 0.23 0.01 0.11 0.15 0.01 0.15 0.11 0.115 0.305 0.19 0.15 0.11 0.15 0.32 0.03 0.26 0.02 0.23 0.05 0.21 0.54 0.678764
36_syst_4,spn l i ang z ou g uo d e n ei x ie q v zh e SP,0.045 0.075 0.02 0.3375 0.1625 0.32 0.16 0.33 0.14 0.3 0.2 0.23 0.25 0.12 0.23 0.3 0.13 0.215 0.42888
36_yycy_31,x i ang n i an sh i n i d e sh eng in AP,0.3275 0.0125 0.01 0.03 0.01 0.03 0.21 0.3175 0.0325 0.07 0.08 0.02 0.2 0.27 1.16 0.42438
36_adgy_3,SP ai d ao z u ei h ou sh ou l e sh ang SP k u d e h ao SP j ve u ang SP AP SP,0.266961 0.23 0.09 0.1 0.17 0.01 0.0775 0.1725 0.065 0.195 0.1 0.01 0.145 0.235 0.71 0.43 0.18 0.11 0.08 0.07 0.23 0.65 0.31 0.2 0.5 0.02 0.815 0.19 0.52269 0.344603
36_qmnlg_27,m ei t ing g uo n SP,0.2 0.3875 0.1825 0.21 0.08 0.29 1.39 0.13931
36_ybkjdn_11,SP u ei uo z u d ang zh e r en j i an d e f eng l i SP,0.13 0.01 0.1575 0.135 0.1575 0.09 0.12 0.29 0.11 0.13 0.06 0.29 0.25 0.01 0.02 0.05 0.04 0.21 0.27 0.01 0.215 0.738286
36_qssymm_29,q ing z ai h u ei ch ang d ang q i zh ong SP,0.14 0.2675 0.0925 0.1775 0.0125 0.01 0.0875 0.1825 0.25 0.05 0.17 0.16 0.03 0.2 1.355 0.32125
36_hsgddj_16,SP spn ei uo m an u m u d i d e s i ch u SP spn i ao b o SP,0.395215 0.03 0.01 0.3975 0.0925 0.02 0.39 0.12 0.29 0.15 0.21 0.03 0.11 0.28 0.1375 0.1725 0.195 0.165 0.03 0.01 0.17 0.1 0.32 0.42388
36_ydt_2,SP s ong d ao n i d e sh ou zh ong b ang n i j ie SP k e SP,0.404943 0.26 0.07 0.03 0.05 0.12 0.2 0.06 0.1 0.21 0.17 0.12 0.15 0.11 0.18 0.12 0.09 0.19 0.11 0.06 0.14 0.41 0.713639
36_ykndyw_33,SP c i sh i u sh eng SP sh eng i ou sh eng SP,0.149388 0.2975 0.0125 0.4975 0.0125 0.08 0.27 0.745 0.635 0.25 0.38 0.01 0.03 0.26 0.52 1.283892
36_yxqc_18,SP uo x in zh i s uo x i ang SP AP SP,0.480998 0.045 0.205 0.14 0.09 0.06 0.19 0.1475 1.5625 0.01 0.04 0.145 0.165 0.264911
36_nbzdds_12,SP uo SP j i an ch i b u n eng sh uo SP,0.250317 0.13 0.08 0.14 0.03 0.1675 0.1625 0.21 0.08 0.22 0.12 0.12 0.24 0.46 0.08525
36_hsgddj_5,SP r u t ong i d i an b an d e x i an j ing SP,0.321905 0.16 0.07 0.16 0.1575 0.1825 0.18 0.04 0.36 0.13 0.22 0.07 0.26 0.28 0.01 0.3225 0.1875 0.295 0.525551
36_syst_6,SP z ong r an sh i m eng a SP b an x ing zh e SP,0.46093 0.16 0.13 0.1 0.1 0.22 0.32 0.16 0.47 0.435 0.555 0.07 0.23 0.22 0.33 0.14 0.32 0.852724
36_wyy_21,zh i i ao SP n i zh en x in AP SP,0.17 0.1975 0.0225 0.095 0.065 0.03 0.63 0.16 0.73 0.28 0.16 0.395 0.06038
36_ybkjdn_13,c ong u ei f ang g uo r en h e zh u s i m a j i SP,0.17 0.5775 0.0125 0.0875 0.1725 0.16 0.03 0.09 0.11 0.1 0.1 0.1 0.16 0.18 0.29 0.04 0.13 0.47 0.16 0.08 0.557633
36_ykndyw_2,SP zh e sh i SP t i an g ang h ao SP h ei l e SP,0.40322 0.24 0.11 0.2675 0.0575 0.075 0.18 0.02 0.48 0.07 0.2 0.2 0.28 0.37 0.16 0.2 0.12 0.775 0.95513
36_yxqc_39,SP sh uo sh en m e q ing sh en s i h ai uo q ve b u g an d ang AP SP,0.395714 0.19 0.09 0.14 0.1675 0.0725 0.0975 0.2025 0.33 0.15 0.1 0.2 0.12 0.13 0.32 0.02 0.16 0.06 0.14 0.11 0.16 0.41 0.05 0.275 0.39175 0.252449
36_qmnlg_14,SP m ing b ai sh en m e c ai r ang uo j i ao ao SP,0.266168 0.09 0.18 0.05 0.1 0.17 0.1075 0.1525 0.0975 0.1625 0.16 0.4 0.01 0.29 0.25 0.01 0.01 0.505 0.885737
36_qssymm_25,SP sh i j ie zh i z ai n i i an zh ong SP,0.28712 0.3575 0.0125 0.12 0.16 0.12 0.0775 0.1525 0.22 0.12 0.31 0.01 0.295 0.295 0.415 0.776911
36_qssymm_20,j i d e d ang ch u n i n ong uo n ong SP,0.21 0.01 0.13 0.1 0.12 0.4275 0.2325 0.15 0.11 0.09 0.07 0.24 0.19 0.15 0.22 0.393938
36_la_6,SP n i zh i SP g u zh e SP z i j i i ong b ao SP,0.180884 0.15 0.11 0.13 0.055 0.075 0.1 0.11 0.08 0.065 0.045 0.14 0.11 0.14 0.34 0.01 0.24 0.05 0.20944 0.215465
36_sjmhynhhxk_23,SP g an t ong sh en sh ou AP SP g ei n i j i ou sh u r e u ang AP SP,0.260408 0.12 0.31 0.15 0.08 0.21 0.28 0.28 0.31 0.43 0.05 0.08 0.09 0.09 0.07 0.17 0.03 0.25 0.2 0.1 0.13 0.38 0.01 1.025 0.65819 0.450907
36_yycy_14,SP zh i sh ao uan x i ao h ua h ai n eng sh uo q i SP,0.145601 0.13 0.0875 0.1125 0.1475 0.18 0.1825 0.01 0.17 0.06 0.1 0.09 0.29 0.1 0.2 0.21 0.3375 0.2825 0.41 0.82419
36_ydt_9,SP uo SP ie b u zh i u ei h e SP,0.14 0.395 0.205 0.03 0.2 0.4 0.17 0.31 0.01 0.07 0.19 0.11 0.738211
36_qssymm_26,SP x i ang f eng b u u en u ei h e c ong c ong SP AP SP,0.327528 0.19 0.01 0.1275 0.1325 0.23 0.07 0.52 0.01 0.01 0.01 0.09 0.19 0.15 0.16 0.1 0.17 0.525 0.11 0.53869 0.158435
36_adgy_15,SP r ang uo n eng an x in z ai SP spn u t i x ia SP AP j ing j ing d e g uan x i ang SP,0.257664 0.1 0.2275 0.18 0.0925 0.02 0.59 0.21 0.4975 0.1625 0.3 0.18 0.03 0.41 0.08 0.15 0.19 0.355 0.16 0.53 0.145 0.35 0.2 0.2 0.05 0.45 0.26 0.31 1.04 0.01 0.025 0.80792
36_hsgddj_29,SP v x ia SP z ai sh en c e ch uan x ing SP AP SP,0.14 0.03 0.19 0.1 0.05 0.15 0.29 0.2 0.16 0.19 0.23 0.22 0.26 0.29 0.39 0.2 0.555 0.539026
36_mtnh_42,SP i ou x i ao zh e b en SP spn ao SP,0.572766 0.02 0.02 0.3775 0.0125 0.02 0.14 0.13 0.16 0.225 0.065 0.07 0.645 0.975841
36_mtnh_40,SP ve m ei h ao SP ve h ai SP spn a d e d ao SP,0.525918 0.1575 0.1625 0.4175 0.1925 0.54 0.48 0.07 0.23 0.15 0.12 0.04 0.15 0.14 0.21 0.13 0.555 0.488263
36_nbzdds_40,SP s u ei l uo m an d e AP SP,0.352381 0.23 0.01 0.6475 0.0625 0.15 0.19 0.59 0.05 0.38 0.29069 0.235805
36_mdlbsy_4,SP uo i j ing k ai sh i u ei x spn SP,0.09 0.1675 0.18 0.1625 0.1275 0.1525 0.275 0.345 0.01 0.01 0.1175 0.2325 0.285 0.28312
36_wyy_2,SP u sh eng i ou u x i SP AP ch u m o z ai x in d i SP,0.53517 0.1325 0.2175 0.64 0.01 0.02 0.14 0.25 0.16 0.105 0.27 0.185 0.18 0.15 0.33 0.09 0.14 0.23 0.24 0.12 0.5 0.2115
36_mtnh_17,SP i ong g an sh i sh en m e SP,0.393946 0.01 0.3975 0.0725 0.13 0.18 0.09 0.23 0.11 0.22 1.045 0.629609
36_knf_21,k e n eng uo SP j i an l e h u ang SP h e c ai h u ei s i SP x in b a AP SP,0.15 0.08 0.15 0.2375 0.0775 0.075 0.13 0.03 0.16 0.05 0.06 0.26 0.01 0.305 0.045 0.05 0.08 0.18 0.1 0.17 0.01 0.02 0.18 0.01 0.06 0.22 0.39 0.09 0.185 0.42888 0.300408
36_la_62,SP uo m en j i ou h ao SP j v h ao s an SP,0.13 0.3275 0.1025 0.3475 0.1125 0.04 0.21 0.18 0.24 0.05 0.15 0.3275 0.1425 0.46 0.25 0.69 0.97688
36_hsgddj_4,SP uo l u g uo t ai d uo t ai m ei d e q i j ing AP SP,0.572494 0.2075 0.0525 0.1075 0.1425 0.1075 0.1825 0.14 0.09 0.09 0.19 0.09 0.14 0.12 0.15 0.33 0.25 0.16 0.12 0.1 0.25438 0.189206
36_ydt_26,SP i q i g uo x ia g e zh ou m o SP,0.09 0.02 0.26 0.14 0.13 0.05 0.24 0.24 0.08 0.03 0.25 0.26 0.04 0.63 0.711956
36_ykndyw_9,r ang l a SP zh u SP d ai SP t i s uo i ou d eng AP SP,0.11 0.5575 0.0425 0.35 0.07 0.21 0.405 0.105 0.09 0.285 0.045 0.14 0.1 0.22 0.34 0.01 0.02 0.11 0.165 0.27056 0.105533
36_ydt_36,SP sh i n i r ang uo d e sh i j ie c ong n a k e b i an ch eng f en h ong s e AP,0.220227 0.2 0.2175 0.0625 0.18 0.09 0.2475 0.2625 0.04 0.08 0.31 0.08 0.1 0.12 0.2 0.05 0.21 0.09 0.19 0.21 0.09 0.01 0.14 0.13 0.15 0.11 0.19 0.1 0.135 0.155 0.11 0.33756
36_ybkjdn_1,SP b u sh i in u ei uo i an j spn l e j ia x i ang SP,0.158821 0.16 0.04 0.19 0.2175 0.0125 0.01 0.2575 0.2725 0.02 0.02 0.16 0.17 0.02 0.06 0.18 0.23 0.21 0.01 0.24 0.44575
36_yycy_39,zh i sh ao uan x i ao h ua h ai n eng sh uo q i AP SP,0.13 0.0675 0.1225 0.1775 0.19 0.26 0.0125 0.06 0.09 0.07 0.14 0.27 0.09 0.21 0.2 0.3 0.29 0.485 0.225 0.296991
36_yxqc_34,f eng q ing i ang x ia u ei i ang SP AP SP,0.17 0.3 0.2 0.2375 0.0125 0.3125 0.2075 0.02 0.01 0.45 0.02 1.015 0.105 0.21406 0.223469
36_nbzdds_25,c ai x ve h u ei f ei x ing SP,0.18 0.08 0.19 0.1725 0.1875 0.01 0.44 0.21 0.1675 0.2225 0.77 0.920548
36_gddzh_0,r u g uo uo sh i i SP d uo h ua SP n a i ou u ei sh ei er zh an f ang SP,0.22 0.17 0.11 0.2275 0.31 0.4925 0.02 0.31 0.08 0.14 0.29 0.22 0.325 0.365 0.16 0.23 0.02 0.47 0.01 0.04 0.26 0.48 0.03 0.24 0.31 0.26 0.62 0.30063
36_nbzdds_3,SP i ou j i SP k e h u ei l uo SP d i SP,0.25 0.01 0.02 0.16 0.15 0.09 0.16 0.46 0.4 0.01 0.04 0.05 0.205 0.065 0.17 0.76 0.38177
36_nn_15,b u i ao q i ou h u ei b ao AP SP,0.14 0.5075 0.0125 0.215 0.145 0.01 0.125 0.145 0.01 0.36 0.18 0.17 0.27881 0.252676
36_ybkjdn_15,SP zh ong v m ing b ai uo m ing l i m ei n i,0.48102 0.16 0.1375 0.1325 0.15 0.19 0.06 0.37 0.1 0.16 0.14 0.19 0.12 0.14 0.17 0.16 0.87081
36_adgy_16,SP uo i ong j in i sh eng i sh i l ai j i ang n i SP g ong i ang SP,0.518866 0.01 0.01 0.5775 0.1325 0.0675 0.7225 0.22 0.53 0.4775 0.8025 0.06 0.12 0.28 0.2 0.01 0.39 0.1 0.325 0.055 0.09 0.77 0.02 0.59 0.34244
36_ybkjdn_18,SP uo d e zh i m i b u u g an d ong l e uo z i j i SP,0.413628 0.07 0.13 0.05 0.16 0.1475 0.0725 0.05 0.13 0.23 0.02 0.12 0.29 0.1 0.15 0.08 0.24 0.3 0.14 0.23 0.27 0.24694 0.355329
36_nbzdds_0,h u d ie zh a j i c i AP i an j ing SP,0.18 0.2775 0.0725 0.1225 0.1875 0.55 0.11 0.09 0.24 0.86 0.2525 0.0275 0.2 0.22 0.565 0.29431
36_ydt_29,sh ang k ou h ai m ei v h e SP,0.19 0.15 0.15 0.1475 0.1725 0.43 0.09 0.3 0.1 0.19 0.555 0.992058
36_ydt_5,SP n i sh i d u ei d e sh i j i an d u ei d e j ve s e SP,0.194807 0.09 0.02 0.1675 0.0125 0.07 0.01 0.2275 0.0125 0.11 0.36 0.05 0.09 0.03 0.2 0.01 0.01 0.29 0.03 0.11 0.16 0.12 0.2 0.43 0.495108
36_mtnh_4,c eng j ing b ing j i an u ang SP q i an d e h uo SP b an SP,0.13 0.18 0.12 0.17 0.12 0.16 0.43 0.01 0.01 0.02 0.395 0.335 0.17 0.01 0.33 0.05 0.3375 0.3225 0.395 0.095 0.09 0.545 0.744531
36_nn_25,x i n i d e x i h uan SP,0.23 0.16 0.14 0.14 0.13 0.31 0.27 0.37 0.18 0.24 0.580647
36_wyy_33,SP uo spn i SP u ei n i SP AP SP AP SP,0.54644 0.255 0.4325 0.2775 0.195 0.02 0.43 0.01 0.72 0.32 0.55 2.385 0.39187 0.43517
36_ykndyw_36,r ang uo ch eng u ei SP AP n i d e i ou SP k e n eng SP,0.13 0.2775 0.16 0.2125 0.3 0.02 0.48 0.1 0.31 0.1 0.13 0.15 0.23 0.01 0.225 0.055 0.2 0.13 0.19 0.97 0.70519
36_wyy_16,sh i q v sh i j ie SP ie b u SP k e x i,0.23 0.0875 0.1025 0.05 0.3575 0.07 0.1225 0.285 0.515 0.02 0.24 0.44 0.4 0.23 0.47 0.31 1.27131
36_wyy_18,SP uo spn i SP u ei n i AP SP,0.422925 0.2075 0.47 0.3475 0.125 0.01 0.23 0.01 0.95 0.38606 0.342313
36_nn_36,SP d a c ong x in l i n uan n uan d e SP,0.316259 0.15 0.12 0.16 0.125 0.185 0.1775 0.1125 0.14 0.13 0.18 0.12 0.2275 0.0725 0.2 0.501214
36_la_61,SP uo i g e r en l an SP AP SP,0.08 0.1875 0.2825 0.2 0.29 0.16 0.28 0.11 0.455 0.08 0.47569 0.447506
36_nbzdds_36,SP uo j i an ch i b u n eng sh uo SP,0.08 0.1825 0.1675 0.03 0.1975 0.1925 0.2 0.11 0.24 0.11 0.13 0.22 0.48525 0.225941
36_nbzdds_5,d ang n i zh u ei l uo AP zh i j i SP,0.14 0.14 0.19 0.12 0.21 0.02 0.58 0.03 0.205 0.1725 0.0425 0.31 0.35 0.37 0.32438
36_yycy_40,j ie x i ang ch u c i l uo ie SP d e q i ou f en SP,0.14 0.07 0.1675 0.0125 0.0375 0.1525 0.2075 0.2125 0.28 0.03 0.41 0.2 0.08 0.08 0.23 0.17 0.01 0.09 0.19 0.135 0.2065
36_ybkjdn_23,r ang uo m ei r i m ei ie m i sh i f ang x i ang AP SP,0.08 0.1975 0.15 0.1325 0.1 0.09 0.1 0.12 0.38 0.04 0.06 0.12 0.31 0.01 0.18 0.16 0.23 0.01 0.07 0.47863 0.332426
36_ybkjdn_19,SP n i q ve h ai sh i i i ang i ao b u k e j i SP,0.211565 0.09 0.09 0.13 0.04 0.16 0.08 0.15 0.54 0.01 0.02 0.1 0.01 0.11 0.13 0.13 0.21 0.02 0.22 0.31 1.304088
36_ydt_18,sh i n i r ang uo d e sh eng h uo c ong c i SP d ou zh i i ao n i SP spn ei h e AP,0.17 0.1975 0.0625 0.2 0.08 0.2775 0.2225 0.04 0.07 0.22 0.15 0.15 0.12 0.16 0.165 0.145 0.01 0.18 0.06 0.16 0.14 0.45 0.01 0.02 0.09 0.095 0.135 0.03 0.18 0.14 0.07 0.42081
36_nbzdds_35,SP uo SP u ei sh en m e AP l i SP k ai n i AP,0.311247 0.325 0.105 0.01 0.41 0.2 0.34 0.04 0.41 0.18 0.08 0.375 0.095 0.17 0.58 0.12 0.105 0.42563
36_trhxn_25,z u ei AP SP AP spn a SP k ong q i t u r an an j ing SP AP SP,0.01 0.01 0.01 0.185 0.06 0.1225 0.0425 0.315 0.055 0.12 0.15 0.22 0.115 0.195 0.22 0.11 0.03 0.7825 0.3075 0.56 0.35 0.255 0.0475
36_wyy_4,SP uo u l i k ang j v SP,0.09 0.5875 0.06 0.0825 0.13 0.19 0.23 0.14 0.155 0.47131
36_wyy_15,SP t ing l i ou z ai n i SP h spn l i SP,0.197687 0.15 0.3375 0.0325 0.01 0.2075 0.1525 0.28 0.14 0.515 0.055 0.17 0.56 0.11 0.325 0.39156
36_mdlbsy_2,spn h u u d ing i ong l a d ing sh i d e l i m ing,0.1675 0.1225 0.2275 0.1025 0.16 0.24 0.01 0.22 0.03 0.1725 0.0975 0.06 0.3 0.05 0.1 0.21 0.06 0.12 0.14 0.17319
36_ybkjdn_16,SP uo c eng v d ao x v d uo m ei l i g u sh i SP,0.12 0.11 0.16 0.1275 0.1425 0.08 0.09 0.16 0.06 0.09 0.1 0.12 0.11 0.09 0.07 0.16 0.22 0.39 0.095 0.70938
36_nbzdds_23,SP n i b u zh i d ao SP d e sh i SP,0.124263 0.12 0.1 0.24 0.5075 0.2225 0.21 0.09 0.48 0.13 0.16 0.3975 0.4525 0.61 1.326608
36_trhxn_17,g uo d e SP k spn l e h uo SP u ei q v SP,0.15 0.3475 0.0725 0.17 0.19 0.01 0.75 0.14 0.7 0.2 0.31 0.54 0.01 0.625 0.255 0.65 0.839817
